1,631,17,1
1,1239,11,1
2,106,47,4
3,29,60,2
4,1271,87,1
4,222,11,5
4,708,85,1
8,294,87,3
8,21,89,1
12,373,30,2
12,86,11,1
12,1108,63,2
13,8,17,2
13,611,15,5
14,532,85,3
14,24,58,5
14,542,18,3
16,25,85,4
16,346,47,3
17,1369,42,3
17,369,85,2
17,763,85,3
18,639,50,1
18,670,18,2
18,1010,85,1
19,930,79,2
19,858,18,2
19,184,63,3
22,483,50,4
22,345,37,3
23,1129,89,5
25,432,11,1
25,1081,83,4
25,584,15,1
26,345,37,5
29,82,60,3
29,719,11,4
30,505,37,1
30,1221,52,2
31,179,58,1
34,623,79,1
34,1199,37,4
34,137,47,2
38,1041,29,1
38,987,15,2
38,682,87,5
40,1025,11,1
40,1360,17,3
40,732,85,3
41,811,11,3
46,1055,58,1
47,785,60,3
47,1158,58,2
47,329,60,2
48,454,42,1
48,226,38,1
49,1130,85,2
49,76,58,2
50,1382,15,3
50,969,87,4
50,399,37,3
52,928,77,3
52,782,60,3
52,10,60,3
55,285,11,3
56,568,52,2
56,801,60,1
56,930,29,2
63,1313,35,3
64,391,35,4
64,100,77,1
64,486,11,1
65,1087,42,1
65,17,15,2
65,1334,85,2
66,269,58,5
66,352,35,1
69,549,77,2
71,519,89,1
71,1208,96,3
72,1201,15,5
73,78,86,2
73,1356,60,3
75,390,77,1
76,1150,83,1
76,395,77,3
78,15,79,5
78,885,17,1
78,243,30,1
82,562,86,2
83,234,38,4
85,1185,38,3
86,465,35,3
87,252,37,3
87,162,63,1
89,769,58,4
91,523,83,1
91,745,87,4
91,770,11,1
93,1082,79,1
93,825,85,3
93,1286,18,1
94,16,18,5
94,126,87,4
98,321,47,4
98,393,79,1
98,980,77,3
100,1093,85,2
100,672,89,4
